title,brand,category,price,date,rating,num_of_ratings,link
Mienta - Supreme Air Fryer - AF47434A - 1500W,Brand: Mienta,air fryers,"8,999
                        
                         .",09/01/2023,4.0 out of 5 stars,16 ratings,https://www.amazon.eg/-/en/Mienta-Supreme-Fryer-AF47434A-1500W/dp/B09GKWKDV2/ref=sr_1_52?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-52
Nouval Easy Fry 1350w 3L Multi color,Brand: Nouval,air fryers,"3,500
                        
                         .",09/01/2023,5.0 out of 5 stars,1 rating,https://www.amazon.eg/-/en/Nouval-Easy-1350w-Multi-color/dp/B096MSRMQH/ref=sr_1_53?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-53
"Sokany AF-006B Air Fryer, 3 Liters - Black (International warranty)",Brand: Sokany,air fryers,"2,699
                             
                              .",09/01/2023,4.5 out of 5 stars,11 ratings,https://www.amazon.eg/Sokany-AF-006B-Fryer-Liters-International/dp/B08X67TLRB/ref=sr_1_54?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-54
"Arshia 20 In 1 Air Fryer, Green, Af1452226""Min 1 year manufacturer warranty""",Brand: Arshia,air fryers,"9,450
                        
                         .",09/01/2023,5.0 out of 5 stars,2 ratings,https://www.amazon.eg/-/en/Arshia-Fryer-Af1452226-manufacturer-warranty/dp/B07MMGR38J/ref=sr_1_55?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-55
"Black & Decker Af400-B5 Aerofry Digital Air Fryer, 4 Liter With TS1000-B5 Sandwich Maker, 2 Slices - 600 Watt",Brand: Black & Decker,air fryers,"4,299
                             
                              .",09/01/2023,4.3 out of 5 stars,12 ratings,https://www.amazon.eg/-/en/Black-Decker-Af400-B5-TS1000-B5-Sandwich/dp/B07YBBZLPM/ref=sr_1_56?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-56
"De'Longhi 1.7 Liter Multifry XL Fryer - FH1363, Black/Gray",Brand: De'Longhi,air fryers,"10,799
                             
                              .",09/01/2023,4.3 out of 5 stars,124 ratings,https://www.amazon.eg/-/en/DeLonghi-1-7-Liter-Multifry-Fryer/dp/B00VE53LHY/ref=sr_1_57?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-57
"Delonghi IdealFry Multifryer, White - FH2101.W",Brand: DeLonghi,air fryers,"6,599
                             
                              .",09/01/2023,5.0 out of 5 stars,4 ratings,https://www.amazon.eg/Delonghi-IdealFry-Multifryer-White-FH2101-W/dp/B07NDZP6B4/ref=sr_1_58?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-58
Bergen F13T- White Digital Air Fryer 4 Liter,Brand: Bergen,air fryers,"8,999
                         
                          .",09/01/2023,4.0 out of 5 stars,1 rating,https://www.amazon.eg/Bergen-F13T-White-Digital-Fryer/dp/B0922WJY95/ref=sr_1_59?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-59
"Copper Crisper Tray- 2-Pieces Nonstick Oven Air Fryer Pan/Tray & Mesh Basket Set - Air Fryer in Oven - Ideal for French Fry - Frozen Food, Baking Sheet without Oil",Brand: Lyxhag,air fryers,"614
                         
                          .",09/01/2023,4.4 out of 5 stars,2 ratings,https://www.amazon.eg/-/en/Copper-Crisper-2-Pieces-Nonstick-Basket/dp/B09NPS62TS/ref=sr_1_60?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-60
"PHILIPS Essential Air Fryer (Slate Grey, HD9200/60, 4.1L, 0.80 kilograms)",Brand: PHILIPS,air fryers,"4,999
                         
                          .",09/01/2023,4.4 out of 5 stars,71 ratings,https://www.amazon.eg/-/en/PHILIPS-Essential-HD9200-60-kilograms/dp/B09K7RLCPL/ref=sr_1_61?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-61
Sonai SH-311 Fryer - 6 in 1 (Red),Brand: Sonai,air fryers,"2,650
                         
                          .",09/01/2023,4.0 out of 5 stars,1 rating,https://www.amazon.eg/-/en/Sonai-SH-311-Fryer-Red/dp/B091CS6WZH/ref=sr_1_62?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-62
"Midea Air Fryer 4L MFTN40A, Black",Brand: Midea,air fryers,"3,999
                             
                              .",09/01/2023,5.0 out of 5 stars,1 rating,https://www.amazon.eg/-/en/Midea-Air-Fryer-MFTN40A-Black/dp/B08C9Z1WXP/ref=sr_1_63?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-63
"Master Pan 12"" Copper Non-Stick Crisper Tray-Air Fryer, Aluminum",Brand: Master Pan,air fryers,"475
                         
                          .",09/01/2023,4.0 out of 5 stars,104 ratings,https://www.amazon.eg/Master-Pan-12-Non-Stick-Tray-Air/dp/B076QZM5CM/ref=sr_1_64?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-64
kenwood plastic Full Size Food Processor - FDP304SI,Brand: Kenwood,food processors,"2,815
                         
                          .",09/01/2023,4.2 out of 5 stars,21 ratings,https://www.amazon.eg/-/en/kenwood-plastic-Full-Size-Processor/dp/B074ZBSYB1/ref=sr_1_1?qid=1673219955&refinements=p_72%3A21909187031&rnid=21863955031&s=home-garden&sr=1-1
"Sokany Meat Grinder SK-7015 Change-speed Gear Box, Smooth Running, Meat Blender -(International warranty)",Brand: Sokany,food processors,"835
                        
                         .",09/01/2023,4.0 out of 5 stars,2 ratings,https://www.amazon.eg/-/en/Sokany-Grinder-Change-speed-International-warranty/dp/B0BKYDRZN1/ref=sr_1_2?qid=1673219955&refinements=p_72%3A21909187031&rnid=21863955031&s=home-garden&sr=1-2
"TODARRUN Manual Food Chopper, Powerful Hand Held Vegetable Chopper with Stainless Steel Blades, Manual Food Chopper Processor Onion Chopper for Nuts,Salad,Puree and Pesto (500 ml)",Brand: TODARRUN,food processors,"214
                         
                          .",09/01/2023,4.2 out of 5 stars,174 ratings,https://www.amazon.eg/-/en/TODARRUN-Powerful-Vegetable-Stainless-Processor/dp/B08Y8YYGKX/ref=sr_1_3?qid=1673219955&refinements=p_72%3A21909187031&rnid=21863955031&s=home-garden&sr=1-3
