title,brand,category,price,date,rating,num_of_ratings,link
Caso 3172 AF 200 Hot Air Fryer Black 1400w 6 Automatic Programs Genuine,Caso,air fryers,3650.0,2023-01-09,4.2,45,https://www.amazon.eg/-/en/Caso-3172-Automatic-Programs-Genuine/dp/B00YPPK68M/ref=sr_1_40?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-40
Philips DAILY COLLECTION AIRFRYER HD9218 ( International Warranty ),PHILIPS,air fryers,6599.0,2023-01-09,4.3,55,https://www.amazon.eg/-/en/COLLECTION-AIRFRYER-HD9218-International-Warranty/dp/B07PQDHBJG/ref=sr_1_41?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-41
Philips Essential Airfryer HD9252/21 White (international warranty),PHILIPS,air fryers,6999.0,2023-01-09,4.0,1,https://www.amazon.eg/-/en/Essential-Airfryer-HD9252-21-international/dp/B09MPC9NGD/ref=sr_1_42?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-42
"PHILIPS Airfrer XXL Premium HD9863/91,1.4Kg, Black, 2 Years Warranty UAE Version",PHILIPS,air fryers,11111.0,2023-01-09,4.8,36,https://www.amazon.eg/-/en/PHILIPS-Airfrer-HD9863-91-Warranty/dp/B09PNF7F6W/ref=sr_1_43?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-43
"Air fryer Disposable Paper, Non-stick Air Fryer Liners Cooking Paper, Baking Paper for Air Fryer Oil-proof and Water-proof, Food Grade Parchment for Baking Roasting Microwave (6.5)",YOMA,air fryers,229.0,2023-01-09,5.0,1,https://www.amazon.eg/-/en/Disposable-Non-stick-Oil-proof-Water-proof-Parchment/dp/B09PNFWRZX/ref=sr_1_44?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-44
"CASO AF 255 Hot Air Fryer 3 L, Includes Grill Grate | 1 kg, 60-200°C, Powerful 1400 W, No Grease, Stainless Steel Interior, Black",Caso,air fryers,3500.0,2023-01-09,4.0,35,https://www.amazon.eg/-/en/60-200%C2%B0C-Powerful-Grease-Stainless-Interior/dp/B088V71LRB/ref=sr_1_45?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-45
"Philips Premium XXL Airfryer - 7.3 Litres, 2225 W, Fat Removal Technology, Recipes (NutriU App), Keep Warm Function, Extra Large Size for the Entire Family - HD9650/99 (International Warranty)",PHILIPS,air fryers,11111.0,2023-01-09,4.6,2,https://www.amazon.eg/-/en/Philips-Premium-XXL-Airfryer-International/dp/B077ZFCZT3/ref=sr_1_46?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-46
"De'Longhi Multifryer Idealfry, White, Fh2101.W - International warranty",DeLonghi,air fryers,7999.0,2023-01-09,4.5,140,https://www.amazon.eg/DeLonghi-Multifryer-Idealfry-White-Fh2101-W/dp/B07JVBRF3X/ref=sr_1_47?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-47
"Black & Decker Digital AF700-B5 Pan - Black, 5.3L",Generic,air fryers,7900.0,2023-01-09,5.0,2,https://www.amazon.eg/-/en/Black-Decker-Digital-AF700-B5-Pan/dp/B0B1B64D1R/ref=sr_1_48?qid=1673219325&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-48
"Mienta AF47234A Air Fryer, 5.5 Liters, 1700 Watt, Black",Mienta,air fryers,5599.0,2023-01-09,4.7,6,https://www.amazon.eg/-/en/Mienta-AF47234A-Fryer-Liters-Black/dp/B09GKSSH91/ref=sr_1_49?qid=1673219327&refinements=p_72%3A21909187031&rnid=21863949031&s=home-garden&sr=1-49
